CustomerID,Cluster
12346.0,0
12347.0,3
12348.0,3
12349.0,3
12350.0,1
12352.0,3
12353.0,1
12354.0,1
12355.0,1
12356.0,3
12357.0,3
12358.0,3
12359.0,3
12360.0,3
12361.0,1
12362.0,3
12363.0,3
12364.0,3
12365.0,1
12367.0,3
12370.0,3
12371.0,3
12372.0,3
12373.0,1
12374.0,3
12375.0,3
12377.0,1
12378.0,3
12379.0,3
12380.0,3
12381.0,3
12383.0,1
12384.0,3
12386.0,1
12388.0,3
12390.0,3
12391.0,3
12393.0,3
12394.0,3
12395.0,3
12397.0,3
12398.0,3
12399.0,3
12401.0,1
12402.0,1
12403.0,3
12405.0,1
12406.0,3
12407.0,3
12408.0,3
12409.0,3
12410.0,1
12412.0,3
12413.0,3
12414.0,1
12415.0,2
12417.0,3
12418.0,3
12420.0,3
12421.0,3
12422.0,3
12423.0,3
12424.0,1
12425.0,3
12426.0,1
12427.0,3
12428.0,3
12429.0,3
12430.0,3
12431.0,0
12432.0,3
12433.0,3
12434.0,3
12435.0,3
12436.0,3
12437.0,0
12438.0,3
12441.0,1
12442.0,3
12444.0,3
12445.0,3
12446.0,3
12447.0,1
12448.0,3
12449.0,3
12450.0,1
12451.0,3
12452.0,3
12453.0,3
12454.0,3
12455.0,3
12456.0,3
12457.0,3
12458.0,3
12461.0,3
12462.0,3
12463.0,3
12464.0,3
12465.0,3
12468.0,1
12471.0,0
12472.0,3
12473.0,3
12474.0,0
12475.0,3
12476.0,3
12477.0,3
12478.0,3
12479.0,3
12480.0,3
12481.0,3
12483.0,3
12484.0,3
12488.0,3
12489.0,1
12490.0,3
12491.0,3
12492.0,3
12493.0,1
12494.0,3
12497.0,3
12498.0,3
12500.0,3
12501.0,1
12502.0,3
12504.0,3
12506.0,1
12507.0,3
12508.0,3
12509.0,1
12510.0,3
12512.0,3
12513.0,3
12514.0,1
12515.0,1
12516.0,3
12517.0,3
12518.0,3
12519.0,3
12520.0,3
12521.0,3
12522.0,3
12523.0,3
12524.0,3
12526.0,3
12527.0,3
12528.0,3
12530.0,3
12531.0,3
12532.0,3
12534.0,3
12535.0,3
12536.0,3
12538.0,3
12539.0,3
12540.0,0
12541.0,3
12544.0,3
12545.0,3
12546.0,3
12547.0,1
12548.0,1
12550.0,3
12551.0,1
12552.0,3
12553.0,3
12556.0,3
12557.0,3
12558.0,3
12559.0,1
12560.0,3
12561.0,1
12562.0,3
12564.0,1
12565.0,1
12566.0,3
12567.0,3
12569.0,0
12571.0,3
